Bedrooms,Price,Number_of_reviews,Reviews_per_month,Rating
2,165,272,2.67,4.76
1,114,302,2.94,4.87
2,95,183,1.8,4.76
1,96,47,0.95,4.68
4,277,36,0.37,4.69
1,98,434,4.22,4.68
2,170,180,1.76,4.78
1,119,197,1.93,4.43
1,74,137,1.38,4.55
1,45,21,0.21,3.9
2,159,233,2.29,4.63
3,71,162,1.59,4.46
2,80,85,0.83,4.8
1,133,15,0.2,4.54
2,334,19,0.19,4.89
1,18,2,0.14,5
1,120,44,0.45,4.48
4,504,132,1.34,4.92
2,141,48,0.49,4.48
2,246,113,1.14,4.87
1,153,136,1.34,4.17
2,102,128,1.33,4.8
1,138,215,2.17,4.53
3,434,18,0.18,4.67
2,343,18,0.18,4.94
4,495,119,1.36,4.98
3,434,21,0.21,4.85
3,160,171,1.67,4.77
1,51,34,0.35,4.6
2,119,310,3.05,4.71
2,146,87,0.87,4.62
1,98,88,0.87,4.48
2,150,211,2.09,4.31
2,205,317,3.11,4.69
3,226,147,1.46,4.73
1,145,233,2.28,4.69
2,140,200,1.97,4.79
2,23,15,0.17,4.57
1,25,1,0.02,0
1,33,57,0.58,4.93
3,170,226,2.27,4.85
1,76,540,5.32,4.62
3,148,450,4.53,4.84
2,174,205,2.04,4.92
3,156,224,2.21,4.48
2,254,40,0.4,4.7
2,171,161,1.6,4.41
1,124,131,1.3,4.73
1,174,106,1.05,4.58
2,244,75,0.73,4.88
1,179,123,1.21,4.77
2,199,167,1.67,4.72
4,227,329,3.24,4.58
3,266,140,1.42,4.8
2,108,223,2.29,4.91
1,65,121,1.2,4.79
2,109,395,3.89,4.75
2,132,145,1.45,4.52
1,59,201,1.98,4.22
3,106,39,0.48,4.47
4,291,3,0.03,4
2,150,250,2.46,4.91
2,223,451,4.5,4.86
1,139,85,0.86,4.76
2,190,18,0.18,4.94
3,140,214,2.15,4.3
1,50,31,0.31,4.89
2,146,186,1.83,4.77
4,240,22,0.25,4.91
3,200,213,2.12,4.66
2,40,31,0.32,4.83
1,156,242,2.39,4.63
2,62,327,3.22,4.85
2,150,273,2.68,4.54
2,225,33,0.4,4.72
2,110,38,0.38,4.97
2,144,215,2.13,4.67
1,30,32,0.33,4.66
2,202,330,3.34,4.67
2,171,193,1.91,4.62
1,40,45,0.45,4.73
1,118,316,3.16,4.86
1,85,481,4.79,4.82
1,99,168,1.67,4.88
2,255,391,3.88,4.73
1,125,341,3.47,4.96
3,195,179,1.76,4.64
1,90,110,1.08,4.42
2,305,67,0.72,4.37
1,159,58,0.9,4.5
1,159,508,5.03,4.63
2,251,98,1.26,4.46
2,263,31,0.42,4.68
1,159,43,0.67,4.6
1,226,83,1.31,4.43
2,297,91,1.13,4.74
3,256,197,2.16,4.84
2,156,103,1.16,4.51
2,143,160,1.78,4.53
4,322,205,2.05,4.56
3,309,39,0.49,4.51
3,261,37,0.41,4.57
3,281,26,0.29,4.64
1,144,139,1.39,4.15
1,211,464,4.56,4.85
3,68,235,2.36,4.7
2,173,86,0.85,4.63
2,274,5,0.05,5
3,300,142,2.03,4.89
3,69,308,3.08,4.75
1,26,36,0.39,4.75
3,139,51,0.51,4
1,73,546,5.38,4.74
3,201,196,1.95,4.61
3,150,611,6.11,4.88
3,263,106,1.37,4.66
2,231,57,0.57,4.38
3,263,36,0.44,4.61
2,210,53,0.74,4.66
1,80,38,0.38,4.68
2,210,50,0.69,4.66
2,113,167,1.67,4.33
2,171,200,1.98,4.59
2,210,78,1.03,4.58
3,246,70,0.72,4.54
3,480,46,0.58,4.76
1,200,25,0.25,4.72
2,145,251,2.5,4.86
2,218,139,1.39,4.68
3,373,170,1.69,4.85
3,270,22,0.22,4.27
1,231,90,0.9,4.91
3,263,109,1.33,4.62
2,205,33,0.33,4.06
3,236,339,3.43,4.87
1,99,183,2.15,4.52
3,182,256,2.56,4.67
1,71,6,0.11,4.5
1,41,131,1.33,4.45
4,170,448,4.5,4.49
2,403,12,0.9,4.58
2,117,273,2.74,4.78
2,92,99,1.11,4.19
1,53,347,3.48,4.6
3,162,108,1.09,4.67
1,26,1,0.01,5
4,300,353,3.52,4.74
1,154,125,1.27,4.48
3,258,416,4.18,4.62
1,194,25,0.42,4.24
2,187,18,0.31,4.06
3,296,16,0.16,4.38
2,219,62,1.3,4.79
3,252,140,1.4,4.49
2,180,361,3.64,4.83
3,248,129,1.32,4.42
1,39,128,1.32,4.4
1,75,102,1.02,4.47
1,212,54,1.02,4.7
2,181,23,0.23,4.52
1,194,36,0.69,4.69
2,265,174,1.73,4.28
1,80,24,0.24,4.25
4,152,282,2.87,4.69
1,42,21,0.23,4.71
3,176,200,2.04,4.42
3,169,19,0.2,4.16
6,484,319,3.2,4.79
3,164,299,2.98,4.7
2,219,19,0.32,3.79
1,30,24,0.26,4.75
1,48,3,0.1,5
4,265,324,3.26,4.67
2,247,37,0.37,4.17
1,170,251,2.53,4.79
3,179,223,2.25,4.86
1,100,3,0.03,4
4,169,62,0.63,4.54
1,61,116,1.18,4.72
1,93,50,0.56,4.73
4,164,6,0.13,4.67
2,265,179,1.78,4.68
3,248,98,1.01,4.21
1,13,43,0.47,4.91
1,36,20,0.2,4.9
3,183,280,2.87,4.73
3,126,394,3.97,4.71
2,139,264,2.66,4.52
1,180,291,2.93,4.94
1,145,116,1.21,4.57
2,129,43,0.59,4.74
1,50,204,2.31,4.69
2,219,234,2.37,4.84
2,133,31,0.33,4.58
2,196,229,2.34,4.96
3,180,322,3.25,4.68
3,247,246,2.48,4.74
2,87,182,1.85,4.63
1,75,42,0.65,4.88
2,138,163,1.81,4.74
2,333,86,0.98,4.81
4,520,40,0.41,4.61
1,175,11,0.13,3.89
1,84,38,0.38,4.7
1,171,557,5.7,4.73
3,169,277,2.8,4.89
3,101,156,1.59,4.59
4,259,302,3.04,4.58
1,70,257,2.61,4.92
2,500,5,0.06,4.8
1,110,449,4.54,4.72
2,175,350,3.54,4.95
2,90,348,3.52,4.86
2,196,204,2.06,4.56
1,35,366,3.66,4.6
2,196,186,1.89,4.42
2,70,95,1.04,4.77
2,109,10,0.1,3.88
2,70,38,0.39,4.68
3,99,95,0.97,4.69
3,250,179,1.8,4.61
2,188,19,0.23,4.05
3,286,203,2.2,4.76
3,117,281,2.89,4.85
1,56,256,2.6,4.85
2,145,292,2.95,4.79
1,184,170,1.73,4.83
1,185,38,0.83,4.5
3,180,269,2.71,4.75
2,225,112,1.15,4.82
1,170,451,4.66,4.67
1,42,91,0.92,4.89
1,54,186,1.88,4.37
4,63,2,0.02,4
2,169,289,2.92,4.76
3,137,262,2.71,4.95
2,195,286,2.96,4.91
2,96,242,2.43,4.83
3,200,17,0.2,5
3,236,63,0.71,4.6
2,184,364,3.66,4.71
1,50,211,2.13,4.71
2,155,142,1.52,4.81
2,154,169,1.77,4.88
2,58,49,0.49,4.57
2,150,289,2.94,4.45
3,350,254,2.57,4.87
1,28,238,2.42,4.75
3,270,55,0.63,4.56
3,236,58,0.62,4.36
1,70,3,1.8,4.67
3,229,65,0.73,4.41
4,458,61,0.67,4.39
3,286,28,0.31,4.25
7,401,36,0.37,4.56
2,127,480,4.92,4.55
3,286,44,0.46,4.55
2,170,122,1.24,4.86
2,121,633,6.53,4.94
3,110,312,3.25,4.85
3,144,29,0.4,4.79
1,43,61,0.62,4.44
3,363,245,2.57,4.68
2,115,156,1.62,4.68
6,425,75,0.78,4.63
2,140,259,2.86,4.54
4,254,112,1.24,4.71
2,299,124,1.37,4.8
2,99,20,0.22,4.55
2,204,144,1.54,4.85
3,185,146,1.7,4.8
2,108,100,1.04,4.18
2,202,39,0.41,4.67
3,168,76,0.87,4.61
3,226,226,2.34,4.58
3,140,87,0.89,4.79
1,160,196,2.14,4.66
1,131,237,3.05,4.81
2,99,36,0.39,4.83
2,160,239,2.47,4.83
3,187,173,1.79,4.76
3,229,216,2.2,4.69
4,252,137,1.43,4.65
1,58,68,0.71,4.53
2,117,632,6.42,4.91
5,425,232,2.4,4.7
4,289,173,1.8,4.64
2,113,25,0.27,4.8
3,144,149,1.73,4.74
2,120,74,0.82,4.91
3,100,207,2.2,4.73
1,168,194,1.98,4.79
4,180,442,4.5,4.53
2,250,6,0.06,3.67
2,111,88,0.9,4.74
1,126,37,0.42,4.11
2,163,223,2.27,4.66
2,50,9,0.1,4.33
1,137,442,4.5,4.96
8,1825,23,0.24,4.96
2,288,209,2.23,4.44
2,280,180,1.95,4.56
2,134,192,2.1,4.67
5,261,114,1.16,4.77
2,143,154,1.61,4.66
3,280,126,1.38,4.69
2,177,83,0.91,4.76
2,128,28,0.3,4.79
1,140,442,4.58,4.83
2,113,88,0.92,4
3,320,400,4.17,4.87
3,226,162,1.68,4.26
2,150,183,2.03,4.46
2,176,103,1.12,4.68
2,177,104,1.11,4.63
2,199,168,1.75,4.85
1,207,72,0.82,4.25
1,177,60,0.7,4.72
3,184,151,1.58,4.68
3,279,264,2.77,4.62
3,240,148,1.69,4.88
1,119,383,4.15,4.86
1,146,184,1.92,4.32
2,60,2,0.02,5
3,286,121,1.29,4.49
2,126,172,2.06,4.55
2,190,97,1.08,4.89
5,127,97,0.99,4.82
2,257,57,0.61,4.82
2,257,45,0.49,4.67
3,244,70,0.72,4.2
2,55,19,0.19,4.72
1,173,67,0.75,4.91
1,85,142,1.51,4.73
1,263,399,4.11,4.91
1,217,44,0.47,4.95
3,53,3,0.07,5
2,157,254,2.59,4.64
2,264,53,0.61,4.92
3,153,227,2.31,4.55
1,183,73,0.78,4.92
2,285,54,0.61,4.92
1,173,33,0.37,4.94
1,30,132,1.34,4.23
2,275,24,0.26,4.91
3,160,165,1.69,4.35
3,343,72,0.79,4.33
2,393,86,0.91,4.86
2,264,27,0.31,4.85
2,121,16,0.17,4.75
1,45,55,0.61,4.72
2,150,44,0.47,4.66
2,275,238,2.58,4.67
1,22,55,0.83,4.76
2,130,83,0.93,4.73
2,292,49,0.62,4.57
1,99,81,0.92,4.88
2,95,105,1.12,4.32
3,138,64,0.66,4.49
2,155,93,1.2,4.59
1,40,135,1.38,4.81
1,59,346,3.69,4.55
3,169,190,1.97,4.88
2,156,85,0.93,4.69
3,325,23,0.24,4.74
2,115,132,1.45,4.43
1,159,3,0.03,5
2,110,84,0.92,4.35
3,90,159,1.67,4.67
3,282,38,0.41,4.89
2,348,198,2.24,4.72
2,264,77,0.79,4.97
2,190,350,3.71,4.81
2,85,260,2.7,4.39
1,130,1,0.01,0
1,45,130,1.72,4.95
3,150,336,3.47,4.69
2,203,292,3.05,4.86
1,36,189,2.47,4.82
2,356,37,0.41,5
4,458,57,0.59,4.54
1,37,62,0.7,4.61
3,281,53,0.57,4.6
3,139,331,3.49,4.9
4,254,9,0.11,3.67
1,99,185,2.05,4.49
3,141,95,1.08,4.42
2,176,6,0.08,4
4,254,11,0.15,3.73
4,254,30,0.34,4.07
2,95,122,2.07,4.68
3,209,26,0.28,4.29
3,302,27,0.38,4.11
1,57,14,0.16,4.15
3,90,18,0.21,4.17
2,205,221,2.36,4.72
6,460,118,1.3,4.43
4,95,2,0.16,3
2,195,170,1.86,4.81
2,368,224,2.5,4.84
2,174,108,1.19,4.78
2,194,14,0.18,3.93
3,343,29,0.32,4.28
2,194,18,0.2,4.11
1,25,41,0.55,4.55
3,308,131,1.43,4.58
2,182,15,0.23,4.33
3,302,33,0.42,4.13
2,124,448,4.85,4.58
2,116,63,0.83,4.41
1,28,2,0.02,4
1,50,20,0.23,4.45
1,49,149,1.63,4.23
4,244,244,2.7,4.92
5,382,267,2.86,4.75
1,26,65,0.71,4.88
7,386,82,0.9,4.63
2,92,291,3.18,4.58
4,226,319,3.39,4.31
1,73,89,1.15,4.86
1,84,431,4.79,4.81
1,215,136,1.55,4.78
2,40,9,0.1,3.89
6,366,136,1.44,4.54
1,151,131,1.43,4.63
3,225,4,0.07,4.67
2,186,464,4.89,4.86
2,205,205,2.3,4.74
1,55,277,3.06,4.88
2,171,155,1.72,4.89
6,360,78,0.89,4.42
1,15,122,1.41,4.84
3,144,371,4.02,4.77
2,110,200,2.19,4.96
6,366,94,1.04,4.66
1,40,221,2.44,4.81
3,50,7,0.08,5
1,46,196,2.1,4.37
2,174,55,0.62,4.36
1,31,147,1.57,4.29
1,30,54,1.1,4.78
4,240,107,1.22,4.45
2,110,99,1.08,4.45
1,47,196,2.09,4.46
1,100,10,0.11,4.22
1,127,281,3.16,4.36
1,55,16,0.18,4.67
3,129,211,2.3,4.55
2,118,158,1.69,4.73
2,182,249,2.71,4.7
1,131,66,0.75,4.59
3,208,29,0.32,4.62
2,183,277,3.05,4.81
3,108,9,0.1,4
1,50,21,0.23,4.33
2,261,24,0.26,4.67
1,247,33,0.4,4.7
1,43,160,1.71,4.43
1,51,154,1.65,4.38
3,135,229,2.49,4.89
2,233,42,0.47,4.37
1,190,91,0.99,4.53
3,285,29,0.32,4.72
3,10,21,0.23,4.3
2,228,143,1.58,4.67
3,149,19,0.22,4.21
1,30,20,0.22,4.79
1,225,75,0.81,4.56
1,75,493,5.33,4.87
5,508,54,0.61,4.76
2,117,4,0.04,4.5
1,26,119,1.28,4.81
1,47,148,1.59,4.74
5,471,68,0.76,4.63
2,101,156,1.78,4.61
2,121,70,0.75,4.5
2,159,208,2.24,4.9
3,150,229,2.47,4.59
1,38,130,1.44,4.69
4,300,95,1.05,4.79
3,151,211,2.3,4.95
3,164,159,1.74,4.84
5,280,89,1,4.4
4,165,236,4.65,4.63
2,150,260,2.86,4.83
1,90,40,0.44,4.23
4,356,63,0.73,4.65
1,189,101,1.95,4.72
4,356,45,0.5,4.71
3,281,82,0.91,4.72
2,109,159,1.76,4.52
2,210,406,4.43,4.74
2,92,163,1.79,4.63
2,248,178,1.96,4.6
5,376,41,0.46,4.33
2,219,59,0.65,4.95
1,176,296,3.48,4.74
2,161,176,1.91,4.28
1,140,72,0.83,4.64
2,219,196,2.19,4.59
4,428,126,1.47,4.76
3,264,161,1.78,4.55
3,245,124,1.36,4.72
3,130,299,3.29,4.4
1,27,48,0.52,4.83
1,250,86,0.94,4.42
2,233,35,0.45,4.69
2,220,27,0.35,4.67
1,80,290,3.19,4.92
3,210,4,0.05,5
1,163,49,0.63,4.51
2,209,36,0.41,4.39
1,44,136,1.52,4.28
2,112,156,1.73,4.9
2,247,96,1.13,4.57
1,35,279,3.08,4.74
1,216,113,1.25,4.46
4,603,40,0.45,4.32
1,155,301,3.35,4.58
2,141,189,2.09,4.65
1,32,42,0.46,4.73
2,177,59,0.7,4.58
4,753,42,0.46,4.71
2,177,66,0.8,4.74
2,202,196,2.23,4.74
2,176,76,0.95,4.68
1,85,163,1.82,4.88
2,284,125,1.36,4.54
1,59,31,0.34,4.83
3,169,8,0.12,4.88
1,229,135,1.64,4.41
1,150,242,2.69,4.94
3,264,285,3.09,4.83
1,140,220,2.42,4.57
2,260,316,3.44,4.69
2,280,320,3.51,4.66
1,146,153,1.72,4.78
2,247,308,3.4,4.82
1,127,100,1.13,4.49
2,192,92,1.02,4.75
1,58,130,1.46,4.62
4,295,256,2.89,4.68
1,115,169,1.87,4.9
3,165,20,0.22,4.74
1,251,25,0.33,4.5
1,218,185,2.02,4.6
2,278,43,0.49,4.79
1,229,207,2.36,4.53
2,185,107,1.19,4.77
2,161,74,0.84,4.62
3,93,12,0.14,4.44
1,220,177,1.93,4.78
3,133,307,3.52,4.52
1,177,279,3.05,4.89
2,135,54,0.59,4.71
3,287,92,1.18,4.73
1,189,164,1.91,4.81
1,247,116,1.29,4.53
2,107,25,0.29,4.76
3,249,71,0.84,4.73
1,136,14,0.22,4.86
2,263,191,2.1,4.88
2,272,10,0.12,4.33
1,30,105,1.19,4.76
1,80,182,2,4.85
2,138,63,0.71,4.46
1,131,90,1.06,4.39
4,235,130,1.42,4.59
1,124,170,1.86,4.63
2,180,89,1,4.71
1,61,376,4.14,4.76
1,42,38,0.44,4.89
2,227,36,0.5,4.31
1,143,170,1.86,4.81
1,49,345,3.81,4.72
1,40,48,0.56,4.63
3,111,46,0.58,4.83
1,218,204,2.29,4.79
6,847,32,0.37,4.59
2,98,158,1.73,4.6
2,202,27,0.4,4.81
2,202,68,0.76,4.42
1,267,275,3.06,4.89
3,241,136,1.52,4.25
9,604,141,1.55,4.74
4,267,92,1.02,4.9
1,75,139,1.54,4.22
2,202,139,1.52,4.38
3,285,6,0.07,4.2
2,101,280,3.16,4.56
3,256,30,0.38,4.87
6,750,3,0.05,4.33
3,678,74,0.98,4.91
1,126,183,2.05,4.54
1,35,21,0.23,4.81
1,39,205,2.27,4.33
1,53,154,1.7,4.61
2,217,182,2.02,4.87
3,312,209,2.36,4.82
2,232,315,3.48,4.69
1,52,72,0.79,4.63
2,120,68,0.76,4.99
1,80,225,2.47,4.82
1,37,16,0.19,4.94
3,120,88,0.98,4.95
1,437,188,2.36,4.63
2,462,138,1.58,4.65
1,35,144,1.61,4.86
3,128,284,3.14,4.56
2,271,23,0.27,5
4,172,60,0.69,4.58
2,91,330,3.71,4.58
1,292,56,0.64,4.73
1,91,448,5.05,4.89
3,145,76,0.86,4.41
2,98,13,0.15,4.64
5,737,12,1.22,4.75
3,28,41,0.48,4.59
2,122,350,4,4.73
2,235,203,2.3,4.64
1,175,89,1.52,4.73
1,36,202,2.31,4.84
1,85,202,2.35,4.79
3,305,54,0.63,4.51
2,90,219,2.45,4.96
1,35,138,1.6,4.87
1,50,81,1.07,4.79
2,100,331,3.7,4.72
3,133,16,0.18,4.29
1,34,40,0.48,4.69
2,935,1,0.01,4
3,243,218,2.73,4.65
1,302,99,1.11,4.71
3,91,7,0.08,4.83
2,130,223,2.48,4.51
1,60,196,2.2,4.78
2,65,53,0.59,4.39
3,195,107,1.41,4.97
1,124,270,3.03,4.48
2,125,6,0.07,4.67
1,81,167,1.88,4.64
5,613,67,0.79,4.82
1,58,49,0.55,4.43
2,145,146,1.66,4.36
2,259,34,0.38,4.79
2,248,89,1.01,4.67
1,163,126,1.63,4.44
1,138,36,0.42,4.14
1,58,11,0.13,3.73
2,232,34,0.45,4.5
1,83,448,5.02,4.78
1,72,456,5.15,4.92
4,458,54,0.61,4.43
1,78,563,6.3,4.68
2,69,8,0.11,4
4,550,57,0.66,4.84
1,25,85,0.97,4.33
3,165,102,1.22,4.43
3,124,60,0.73,4.33
3,211,228,2.62,4.81
3,230,289,3.28,4.6
3,330,8,0.1,4.38
1,49,101,1.16,4.65
1,134,233,2.62,4.78
1,143,16,0.18,4.19
1,145,36,0.56,4.63
1,24,86,0.97,4.41
4,287,163,1.89,4.87
1,20,22,0.25,4.9
4,49,2,0.04,3
2,199,45,0.54,4.3
1,144,41,0.47,4.17
6,850,9,0.11,3.88
7,1300,1,0.03,4
6,1200,6,0.07,3.75
4,700,5,0.08,4
1,136,174,1.99,4.41
11,1500,2,0.02,4.5
1,26,161,1.89,4.63
2,123,3,0.04,3.33
3,110,3,0.04,4
9,1300,1,0.23,5
2,144,48,0.54,4.48
3,113,101,1.18,4.47
1,176,66,0.76,4.69
1,20,66,0.75,4.12
1,35,130,1.46,4.63
5,296,281,3.15,4.75
2,126,284,3.28,4.86
2,149,209,2.36,4.91
3,288,2,0.17,3
3,427,129,1.48,4.47
2,201,122,1.4,4.5
2,202,53,0.64,4.38
1,245,155,1.77,4.37
2,202,76,0.9,4.43
3,192,94,1.07,4.21
2,202,36,0.52,4.17
4,247,123,1.42,4.46
4,316,121,1.39,4.45
2,279,112,1.28,4.54
2,69,16,0.18,4.67
2,203,67,0.87,4.63
2,192,118,1.35,4.54
1,43,10,0.12,4.4
1,70,11,0.13,4.18
2,134,13,0.17,4.54
1,66,12,0.14,4.45
2,167,143,1.94,4.78
2,225,195,2.23,4.63
2,196,46,0.52,4.5
1,45,93,1.37,4.92
2,73,44,0.5,4.49
3,221,167,1.93,4.69
2,160,220,2.5,4.85
1,32,298,3.39,4.52
3,305,109,1.26,4.79
2,40,59,0.68,4.17
1,40,189,2.16,4.43
5,374,322,3.73,4.95
2,347,23,0.29,4.35
2,95,77,0.88,4.6
3,300,121,1.38,4.89
1,46,214,2.43,4.36
1,40,72,0.82,4.74
3,200,66,0.77,4.8
1,69,72,0.82,4.47
1,30,30,0.34,4.64
3,142,329,3.78,4.56
1,100,5,0.06,4.2
1,24,8,0.12,4.71
1,85,63,0.72,4.95
1,212,74,0.92,4.62
4,950,47,0.54,5
2,178,56,0.73,4.63
1,53,319,3.87,4.8
1,49,25,0.29,4.33
1,68,157,1.8,4.77
3,289,310,3.56,4.96
1,185,102,1.32,4.72
2,210,233,2.73,4.69
3,159,50,0.58,4.52
1,172,231,2.98,4.61
1,64,143,1.64,4.73
2,175,278,3.22,4.6
1,150,142,1.63,4.72
1,20,20,0.23,4.8
2,141,83,1.23,4.94
1,20,28,0.32,4.58
1,88,201,2.47,4.55
1,168,196,2.26,4.81
4,90,2,0.02,4
1,8999,119,1.36,4.55
1,26,75,0.87,4.53
3,163,50,0.58,4.08
1,60,185,2.14,4.74
2,165,108,1.73,4.85
1,89,7,0.08,4.6
1,62,102,1.2,4.85
1,74,9,0.1,3.17
3,152,13,0.17,4.08
2,269,11,0.18,4.36
1,208,54,0.71,4.56
2,276,37,0.49,4.58
1,214,23,0.3,4.09
3,53,1,0.02,5
2,212,165,1.91,4.75
4,190,62,0.73,4.4
1,58,135,2.04,4.89
2,40,34,0.39,4.29
2,111,54,0.77,4.48
3,286,65,0.79,4.77
3,136,150,1.73,4.4
1,61,88,1.02,4.55
1,155,212,2.45,4.76
1,110,122,1.4,4.52
1,104,40,0.52,4.87
4,120,25,0.29,4.72
2,220,205,2.4,4.25
1,20,34,0.85,4.53
2,161,62,0.72,4.52
1,105,230,2.68,4.68
2,108,177,2.05,4.76
2,161,68,0.79,4.59
3,236,130,1.5,4.55
2,150,249,2.9,4.85
1,39,116,1.37,4.86
2,257,94,1.09,4.74
2,272,6,0.07,3.6
1,120,185,2.16,4.68
1,32,75,0.98,4.92
3,205,230,2.73,4.38
3,155,227,2.64,4.79
2,180,191,2.23,4.71
1,35,124,1.44,4.81
3,185,77,1.01,4.58
3,170,239,2.78,4.21
3,321,78,0.92,4.52
3,160,148,1.82,4.76
4,494,165,1.96,4.51
6,595,187,2.2,4.41
3,266,123,1.45,4.74
1,75,219,2.57,4.48
3,187,97,1.3,4.7
1,59,3,0.04,4
1,30,173,2.05,4.91
3,142,134,1.56,4.53
2,141,152,1.81,4.8
3,142,16,0.21,4.38
3,225,50,0.64,4.57
1,29,86,1,4.7
1,65,31,0.37,4.1
1,54,184,2.48,4.47
2,25,31,2.32,4.23
3,352,27,0.32,4.26
1,234,232,2.72,4.81
1,35,103,1.21,4.4
1,35,83,0.98,4.37
1,35,82,1,4.34
1,35,73,0.86,4.44
3,333,127,1.61,4.54
1,50,6,0.07,4.33
4,494,162,1.93,4.4
2,151,312,3.7,4.89
2,164,133,1.57,4.74
2,149,233,2.86,4.92
2,80,309,3.62,4.59
1,50,11,0.13,4.09
1,120,12,0.17,4.67
1,81,298,3.52,4.61
1,240,7,0.09,4.43
1,95,4,0.05,4.5
2,110,1,0.01,5
1,59,249,2.96,4.83
1,180,16,0.2,4.44
3,150,4,0.05,5
1,25,5,0.06,4.4
3,210,13,0.17,4.08
1,35,14,0.18,4.71
3,149,99,1.17,4.61
1,140,33,0.4,3.97
1,71,202,2.37,4.6
3,253,177,2.1,4.4
1,55,196,2.41,4.71
2,250,4,0.05,4
4,210,10,2.26,3.9
2,143,79,0.94,4.43
3,125,2,0.03,5
3,159,10,0.12,4
3,250,18,0.21,4.72
2,178,244,2.91,4.87
2,156,137,1.81,4.81
2,120,1,0.03,3
3,130,3,0.04,5
1,95,4,0.05,4.75
1,182,108,1.29,4.87
2,120,1,0.01,5
1,33,325,3.82,4.89
3,180,237,2.78,4.67
2,140,133,1.57,4.85
3,250,6,0.07,3.67
1,85,84,0.98,4.9
3,190,63,0.77,4.78
1,145,24,0.35,4.54
2,160,130,1.69,4.82
1,46,54,0.69,4.92
3,758,88,1.15,4.55
5,906,238,3.29,4.73
3,148,154,1.85,4.78
2,302,121,1.6,4.57
3,142,63,0.95,4.83
3,142,94,1.24,4.71
2,115,148,1.77,4.49
2,100,180,2.13,4.72
3,330,133,1.62,4.8
2,250,4,0.05,4.5
6,750,2,0.03,4
1,12,26,0.31,4.6
2,160,20,0.24,4.4
1,250,1,0.02,4
1,135,96,1.42,4.69
3,99,21,0.25,4.38
1,60,33,0.39,4.47
1,60,4,0.05,4.75
1,35,17,0.22,4.53
1,344,103,1.26,4.76
1,25,241,2.85,4.43
1,117,307,3.67,4.56
1,40,259,3.1,4.19
1,148,12,0.14,4
1,148,10,0.15,3.7
1,183,503,5.98,4.68
3,138,150,1.81,4.66
2,250,9,0.11,4.29
1,66,9,0.12,4.67
1,58,8,0.11,4.13
1,66,11,0.15,4.27
1,148,30,0.36,4.17
1,35,24,0.52,4.59
3,264,5,0.06,5
1,120,159,1.88,4.82
2,69,9,0.12,4.33
1,38,17,0.2,4.65
1,68,9,0.12,3.89
1,58,11,0.14,4.27
1,25,141,1.73,4.41
2,58,32,0.42,4.91
1,38,17,0.2,4.71
1,25,133,1.58,4.46
1,12,9,0.11,4
1,13,206,2.43,4.42
1,25,162,2.08,4.44
2,123,84,1.03,4.74
3,175,63,0.76,4.92
2,300,47,0.58,4.85
3,250,35,0.42,4.71
2,250,22,0.29,4.73
1,170,91,1.14,4.88
3,159,7,0.09,5
1,165,253,3.12,4.92
1,166,34,0.4,4.42
2,132,222,2.68,4.69
2,110,118,1.76,4.63
1,84,272,3.26,4.81
1,13,209,2.48,4.37
1,25,214,2.63,4.34
1,35,41,0.5,4.53
1,27,256,3.14,4.5
1,130,2,0.05,4.5
1,134,156,1.88,4.79
1,97,183,2.17,4.79
1,150,142,1.92,4.82
6,437,272,3.28,4.79
3,183,133,1.77,4.72
1,166,11,0.13,4.82
2,289,48,0.67,4.85
1,212,10,0.14,4.7
2,60,10,0.13,4.4
2,119,315,3.76,4.9
1,29,1,0.01,0
2,187,169,2.06,4.78
2,115,166,1.98,4.77
2,163,232,2.83,4.82
1,181,247,2.94,4.57
4,191,18,0.23,4.29
3,150,256,3.06,4.73
2,119,317,3.78,4.91
2,119,322,3.84,4.85
3,143,375,4.51,4.86
2,250,27,0.34,4.48
2,250,29,0.37,4.79
3,147,97,1.19,4.27
1,31,9,0.15,4.33
1,137,183,2.29,4.69
2,207,18,0.26,4.28
2,129,117,1.44,4.2
2,284,142,1.71,4.31
1,75,169,2.71,4.75
2,75,12,0.15,4.33
3,296,96,1.23,4.81
5,336,262,3.16,4.75
3,299,34,0.41,4.55
2,180,29,0.38,4.41
2,163,48,0.73,4.26
1,58,47,0.62,4.74
3,223,52,0.68,4.42
2,180,24,0.31,4.33
1,164,59,0.78,4.62
2,280,62,0.79,4.52
2,156,30,0.39,4.21
1,66,10,0.12,4
2,236,114,1.36,4.64
8,1000,5,0.07,3.4
3,130,21,0.25,5
1,97,87,1.12,4.78
3,195,277,3.34,4.55
3,247,206,3.03,4.96
1,39,259,3.15,4.75
1,62,38,0.6,4.67
2,352,106,1.39,4.79
3,206,193,2.37,4.6
2,146,141,1.72,4.9
3,345,20,0.25,4.7
2,105,133,1.66,4.83
1,154,15,0.19,4.54
3,150,33,0.4,4.74
3,417,53,0.66,4.53
4,200,249,3.06,4.59
2,206,15,0.23,4.53
3,365,63,0.79,4.78
4,500,6,0.08,4.33
1,90,65,0.83,4.78
4,65,24,0.31,3.96
1,100,141,1.73,4.76
1,90,113,1.42,4.71
5,872,52,0.67,4.57
2,281,316,3.81,4.83
3,183,151,1.83,4.7
1,217,33,0.4,4.3
1,161,23,0.31,4.83
2,140,182,2.28,4.93
1,130,27,0.35,4.74
3,201,321,3.93,4.49
3,254,274,3.33,4.48
1,70,7,0.1,3.71
