id,target
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,1
210,0
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,0
361,0
362,1
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,1
397,1
398,1
399,0
400,1
